id,name,category,storageForm,description,moisturePerc,dryMatterPerc,ashPerc,metabolizableEnergyKcal,crudeProteinPerc,crudeFatPerc,crudeFiberPerc,calciumPerc,totalPhosphorusPerc,availablePhosphorusPerc,sodiumPerc,chloridePerc,saltPerc,lysinePerc,methioninePerc,cystinePerc,taurinePerc
ing_00011,"Pie, Dutch Apple, Commercially Prepared",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167522),41.09,58.91,0.7,2900.0,2.17,11.5,1.6,0.014,0.029,0.0145,0.2,0.3,0.5,0.057,0.101,0.051,0.0
ing_00012,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",agricultural,frozen,USDA SR Legacy Profile (FDC ID: 167523),17.78,82.22,1.17,4680.0,5.52,28.74,1.4,0.02,0.068,0.034,0.353,0.5295,0.8825,0.111,0.246,0.083,0.0
ing_00013,"Waffles, chocolate chip, frozen, ready-to-heat",agricultural,frozen,USDA SR Legacy Profile (FDC ID: 167524),35.62,64.38,2.8,2970.0,5.8,10.1,1.5,0.357,0.272,0.136,0.529,0.7935,1.3225,0.094,0.224,0.085,0.0
ing_00014,"Tostada shells, corn",grain,dry,USDA SR Legacy Profile (FDC ID: 167525),3.32,96.68,2.72,4740.0,6.15,23.38,5.8,0.076,0.203,0.1015,0.657,0.9855,1.6425,0.0,0.0,0.0,0.0
ing_00015,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167526),25.48,74.52,2.44,3740.0,7.12,17.12,0.7,0.073,0.2,0.1,0.51,0.765,1.275,0.06,0.43,0.28,0.0
ing_00016,"Bread, pound cake type, pan de torta salvadoran",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167527),22.38,77.62,1.82,3900.0,7.06,17.45,1.7,0.046,0.3,0.15,0.39,0.585,0.975,0.06,0.33,0.18,0.0
ing_00017,"Pastry, Pastelitos de Guava (guava pastries)",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167528),27.26,72.74,0.99,3790.0,5.48,18.5,2.2,0.014,0.056,0.028,0.231,0.3465,0.5775,0.0,0.0,0.0,0.0
ing_00018,"Crackers, snack, Goya Crackers",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167529),5.93,94.07,2.12,4330.0,14.25,13.35,3.8,0.016,0.145,0.0725,0.665,0.9975,1.6625,0.0,0.0,0.0,0.0
ing_00019,"Crackers, cream, Gamesa Sabrosas",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167530),4.45,95.55,3.62,4840.0,7.01,20.37,2.4,0.026,0.098,0.049,1.148,1.722,2.87,0.0,0.0,0.0,0.0
ing_00020,"Crackers, cream, La Moderna Rikis Cream Crackers",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167531),4.48,95.52,3.95,4640.0,7.19,19.5,2.4,0.734,0.1,0.05,0.752,1.128,1.88,0.0,0.0,0.0,0.0
ing_00021,"Bread, white wheat",grain,dry,USDA SR Legacy Profile (FDC ID: 167532),39.6,60.4,3.69,2380.0,10.66,2.15,9.2,0.684,0.103,0.0515,0.478,0.717,1.195,0.0,0.0,0.0,0.0
ing_00022,"Bagels, wheat",grain,dry,USDA SR Legacy Profile (FDC ID: 167533),37.55,62.45,1.82,2500.0,10.2,1.53,4.1,0.02,0.142,0.071,0.439,0.6585,1.0975,0.0,0.0,0.0,0.0
ing_00023,"Cream puff, eclair, custard or cream filled, iced",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167534),38.64,61.36,1.0,3340.0,4.41,18.52,0.9,0.035,0.071,0.0355,0.265,0.3975,0.6625,0.0,0.0,0.0,0.0
ing_00024,"Tortillas, ready-to-bake or -fry, flour, shelf stable",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167535),32.43,67.57,2.71,2970.0,8.01,7.58,2.4,0.163,0.213,0.1065,0.742,1.113,1.855,0.142,0.268,0.118,0.0
ing_00025,"Snacks, beef jerky, chopped and formed",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167536),23.36,76.64,6.8,4100.0,33.2,25.6,1.8,0.02,0.407,0.2035,1.785,2.6775,4.4625,0.0,0.0,0.0,0.0
ing_00026,"Snacks, corn-based, extruded, chips, plain",grain,dry,USDA SR Legacy Profile (FDC ID: 167537),1.07,98.93,2.13,5390.0,6.17,33.36,4.0,0.138,0.194,0.097,0.514,0.771,1.285,0.119,0.331,0.137,0.0
